book_title,author,isbn,publisher,weeks_on_list,movie_title,year,length,movie_genre,movie_rating,star_rating, gross_amount ,Book Title (GoodReads),Author,average_rating,isbn,isbn13,language_code,publication_date,publisher
,,,,,,,,,,,,What Did the Constitution Mean to Early Americans? (Historians at Work),Edward Countryman,3.29,312182627,9781580000000,eng,9/1/2006,Ten Speed Press
,,,,,,,,,,,,What Do Women Want?: Essays by Erica Jong,Erica Jong,3.69,1585425540,9780310000000,eng,1/1/1999,Bedford Books
,,,,,,,,,,,,What Do You Care What Other People Think?,Richard P. Feynman,4.27,393320928,9781590000000,eng,5/10/2007,Tarcherperigee
,,,,,,,,,,,,What Dreams May Come,Richard Matheson,3.95,765308703,9780390000000,eng,1/11/2001,W.W. Norton & Company
,,,,,,,,,,,,What Einstein Told His Cook: Kitchen Science Explained,Robert L. Wolke/Marlene Parrish,3.86,393011836,9780770000000,eng,1/1/2004,Tor Books
,,,,,,,,,,,,What Is Ancient Philosophy?,Pierre Hadot/Michael Chase,4.19,674013735,9780390000000,eng,5/17/2002,W. W. Norton  Company
,,,,,,,,,,,,What is Art?,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky,3.72,140446427,9780670000000,eng,3/15/2004,Belknap Press
,,,,,,,,,,,,What Is Goth?,Aurelio Voltaire,4.1,1578633222,9780140000000,eng,8/31/1995,Penguin Classics
,,,,,,,,,,,,What Is the What,Dave Eggers,4.16,1932416641,9781580000000,eng,8/1/2004,Weiser Books
,,,,,,,,,,,,What Jane Austen Ate and Charles Dickens Knew: From Fox Hunting to Whist—the Facts of Daily Life in 19th-Century England,Daniel Pool,3.85,671882368,9781930000000,eng,10/18/2006,McSweeney's
,,,,,,,,,,,,What Life Was Like Amid Splendor and Intrigue: Byzantine Empire  AD 330-1453,Ellen Anker/Denise Dersin,3.68,783554575,9780670000000,en-US,4/21/1994,Touchstone
,,,,,,,,,,,,What Life Was Like Among Druids and High Kings: Celtic Ireland  AD 400-1200 (What Life Was Like),Robin Chapman Stacey,3.64,783554559,9780780000000,eng,5/24/1999,Time Life Medical
,,,,,,,,,,,,What Life Was Like at the Rebirth of Genius: Renaissance Italy  AD 1400-1550 (What Life Was Like),Richard Stapleford/Time-Life Books,4,783554613,9780780000000,eng,5/24/1999,Time Life Medical
,,,,,,,,,,,,What Life Was Like In the Age of Chivalry: Medieval Europe  AD 800-1500 (What Life Was Like),Denise Dersin,3.77,783554516,9780780000000,eng,9/1/1999,Time Life Medical
,,,,,,,,,,,,What Life Was Like in the Jewel in the Crown: British India  AD 1600-1905,Time-Life Books,3.66,783554605,9780780000000,eng,5/24/1999,Time Life Medical
,,,,,,,,,,,,What Life Was Like in the Realm of Elizabeth: England  AD 1533-1603 (What Life Was Like),Time-Life Books,3.72,783554567,34406054602,eng,9/1/1999,Time Life Medical
,,,,,,,,,,,,What Life Was Like in the Time of War and Peace: Imperial Russia  AD 1696-1917 (What Life Was Like),Time-Life Books,3.75,783554591,9780780000000,eng,5/24/1999,Time Life Medical
,,,,,,,,,,,,What Life Was Like on the Banks of the Nile: Egypt  3050-30 BC,Denise Dersin,4,809493780,9780780000000,eng,9/1/1999,Time Life Medical
,,,,,,,,,,,,What Life Was Like When Rome Ruled the World: The Roman Empire  100 BC - AD 200 (What Life Was Like),Time-Life Books,3.85,783554524,9780810000000,eng,5/24/1999,Time Life Books
,,,,,,,,,,,,What Looks Like Crazy on an Ordinary Day (Idlewild  #1),Pearl Cleage,3.73,038079487X,9780780000000,eng,5/24/1999,Time Life Medical
,,,,,,,,,,,,What Sappho Would Have Said,Emma Donoghue,3.62,241136822,9780380000000,eng,11/1/1998,Harper Perennial
,,,,,,,,,,,,What the Body Remembers,Shauna Singh Baldwin,3.89,385496052,9780240000000,eng,4/24/1997,Hamish Hamilton Ltd
,,,,,,,,,,,,What the Corpse Revealed,Hugh    Miller,3.79,312975732,9780390000000,eng,1/16/2001,Anchor
,,,,,,,,,,,,What The Lady Wants,Jennifer Crusie,3.64,155166951X,9780310000000,eng,12/15/2000,St. Martin's True Crime
,,,,,,,,,,,,What to Expect the First Year (What to Expect),Heidi Murkoff/Sharon Mazel/Arlene Eisenberg/Sandee Hathaway/Mark D. Widome,3.89,761129588,9781550000000,eng,10/25/2002,MIRA
,,,,,,,,,,,,What to Sell on ebay and Where to Get It: The Definitive Guide to Product Sourcing for eBay and Beyond,Chris Malta/Lisa Suttora,3.62,72262788,9780760000000,eng,10/16/2003,Workman Publishing Company
,,,,,,,,,,,,What Uncle Sam Really Wants,Noam Chomsky/Arthur Naiman/David Barsamian/Sandy Niemann,3.99,1878825011,9780070000000,eng,1/24/2006,McGraw-Hill
,,,,,,,,,,,,What Was She Thinking? [Notes on a Scandal],Zoë Heller,3.71,312421990,9781880000000,eng,1/1/1992,Odonian Press
,,,,,,,,,,,,What Went Wrong? The Clash Between Islam & Modernity in the Middle East,Bernard Lewis,3.49,60516054,9780310000000,eng,6/1/2004,Picador
,,,,,,,,,,,,What Work Is,Philip Levine,4.27,679740589,9780060000000,eng,1/7/2003,Harper Perennial
,,,,,,,,,,,,What Would Machiavelli Do?: The Ends Justify the Meanness,Stanley Bing,3.45,66620104,9780680000000,eng,4/21/1992,Knopf
,,,,,,,,,,,,What Would You Do? (American Girl Library),Patti Kelley Criswell/Norm Bendell,4.26,1584858745,9780070000000,eng,7/28/2004,Harper Business
,,,,,,,,,,,,What You Think of Me Is None of My Business,Terry Cole-Whittaker,4.1,051509479X,9781580000000,en-US,7/1/2004,American Girl Publishing Inc
,,,,,,,,,,,,When Broken Glass Floats: Growing Up Under the Khmer Rouge,Chanrithy Him,4.14,393322106,9780520000000,en-US,4/1/1988,Berkley Books
,,,,,,,,,,,,When Christ and His Saints Slept  (Henry II and Eleanor of Aquitaine  #1),Sharon Kay Penman,4.27,345396685,9780390000000,eng,4/17/2001,W. W. Norton  Company
,,,,,,,,,,,,When Food Is Love: Exploring the Relationship Between Eating and Intimacy,Geneen Roth,4.04,452268184,9780350000000,eng,2/6/1996,Ballantine Books
,,,,,,,,,,,,When Genius Failed: The Rise And Fall Of Long Term Capital Management,Roger Lowenstein,4.19,1841155047,9780450000000,eng,7/1/1992,Plume Books
,,,,,,,,,,,,When Genius Failed: The Rise and Fall of Long-Term Capital Management,Roger Lowenstein,4.19,375758259,9781840000000,eng,6/1/2009,Fourth Estate
,,,,,,,,,,,,When Heaven and Earth Changed Places: A Vietnamese Woman's Journey from War to Peace,Le Ly Hayslip/Jay Wurts,4.12,452271681,9780380000000,eng,10/9/2001,Random House Trade Paperbacks
,,,,,,,,,,,,When I Don't Desire God: How to Fight for Joy,John Piper,4.19,1581346522,9780450000000,eng,11/1/1993,Plume
,,,,,,,,,,,,When I Feel Angry,Nancy Cote/Cornelia Maude Spelman,3.98,807588970,9781580000000,eng,9/21/2004,Crossway Books
,,,,,,,,,,,,When I Was Puerto Rican,Esmeralda Santiago,4.02,679756760,9780810000000,eng,1/1/2000,Albert Whitman  Company
,,,,,,,,,,,,When Nietzsche Wept,Irvin D. Yalom,4.32,60748125,9780680000000,eng,10/11/1994,Vintage Books USA
,,,,,,,,,,,,When Night Falls,Linda  Anderson,3.44,743411471,9780060000000,eng,1/4/2005,Harper Perennial
,,,,,,,,,,,,When Rabbit Howls,Truddi Chase/Robert A. Phillips,4.04,425183319,9780740000000,eng,10/1/2000,Pocket Books
,,,,,,,,,,,,When Rain Clouds Gather,Bessie Head,3.84,435909614,9780430000000,eng,2/5/2002,Berkley
,,,,,,,,,,,,When Red Is Black (Inspector Chen Cao #3),Qiu Xiaolong,3.77,156947396X,9780440000000,eng,6/5/1996,Heinemann Educational Books
,,,,,,,,,,,,When Santa Fell to Earth,Cornelia Funke/Paul   Howard/Oliver G. Latsch,3.76,043978204X,9781570000000,eng,8/1/2005,Soho Crime
,,,,,,,,,,,,When She Was Good,Philip Roth,3.53,679759255,9780440000000,eng,10/1/2006,Chicken House / Scholastic
,,,,,,,,,,,,When Smoke Ran Like Water: Tales Of Environmental Deception And The Battle Against Pollution,Devra Davis/Mitchell Gaynor,4.02,465015220,9780680000000,eng,1/31/1995,Vintage
,,,,,,,,,,,,When Somebody Loves You Back (Soulmates Dissipate  #6),Mary B. Morrison,4.38,758207301,9780470000000,en-US,12/25/2003,Basic Books
,,,,,,,,,,,,When the Darkness Will Not Lift: Doing What We Can While We Wait for God—And Joy,John Piper,4.13,1581348762,9780760000000,en-US,8/1/2006,Dafina Books
,,,,,,,,,,,,When the Elephants Dance,Tess Uriza Holthe,4.03,142002887,9781580000000,eng,12/14/2006,Crossway Books
,,,,,,,,,,,,When the Emperor Was Divine,Julie Otsuka,3.73,141009055,9780140000000,en-US,6/24/2003,Penguin Books
,,,,,,,,,,,,When the Heart Waits: Spiritual Direction for Life's Sacred Questions,Sue Monk Kidd,4.13,61144894,9780140000000,en-US,1/12/2004,Penguin
,,,,,,,,,,,,When the Lion Feeds (Courtney  #1),Wilbur Smith,4.19,312940661,9780060000000,eng,10/11/2016,HarperOne
,,,,,,,,,,,,When the Rivers Run Dry: Water - The Defining Crisis of the Twenty-first Century,Fred Pearce,3.94,807085731,9780310000000,eng,10/3/2006,St. Martin's Paperbacks
,,,,,,,,,,,,When the Siren Wailed,Noel Streatfeild/Judith Gwyn Brown,3.72,394931475,9780810000000,eng,3/15/2007,Beacon Press
,,,,,,,,,,,,When the Wind Blows (When the Wind Blows  #1),James Patterson,3.93,446676438,9780390000000,en-US,10/1/1977,Lions
,,,,,,,,,,,,When the World Was Steady,Claire Messud,3.17,964561107,9780450000000,eng,4/1/2000,Grand Central Publishing
,,,,,,,,,,,,When True Night Falls (The Coldfire Trilogy  #2),C.S. Friedman,4.14,756403162,9780960000000,eng,9/1/1995,Granta
,,,,,,,,,,,,When We Meet Again (Effingtons  #10),Victoria Alexander,3.87,60593199,9780760000000,en-US,10/4/2005,DAW
,,,,,,,,,,,,When We Were Orphans,Kazuo Ishiguro,3.49,571225403,9780060000000,eng,5/24/2005,Avon
,,,,,,,,,,,,Where Are the Children?,Mary Higgins Clark,4.02,1416507779,9780570000000,eng,12/1/2007,Faber & Faber
,,,,,,,,,,,,Where I Was From,Joan Didion,3.86,679752862,9781420000000,eng,7/1/2005,Pocket Books
,,,,,,,,,,,,Where I'm Calling From: New and Selected Stories,Raymond Carver,4.42,679722319,9780680000000,eng,9/14/2004,Vintage
,,,,,,,,,,,,Where Is Baby's Mommy? (A Lift-the-Flap Book),Karen Katz,4.15,689835612,9780680000000,eng,9/12/2000,Vintage Contemporaries
,,,,,,,,,,,,Where or When,Anita Shreve,3.3,156031272,9780690000000,eng,4/1/2001,Little Simon
,,,,,,,,,,,,Where Rainbows End,Cecelia Ahern,3.94,7189958,9780160000000,eng,10/4/2005,Mariner Books
,,,,,,,,,,,,Where the Bluebird Sings to the Lemonade Springs,Wallace Stegner/T.H. Watkins,4.1,375759328,9780010000000,eng,11/8/2004,HarperCollins
,,,,,,,,,,,,Where the Broken Heart Still Beats: The Story of Cynthia Ann Parker,Carolyn Meyer,3.7,152956026,9780380000000,eng,4/9/2002,Modern Library
,,,,,,,,,,,,Where the Heart Is,Billie Letts,4.02,446672211,9780150000000,eng,10/15/1992,HMH Books for Young Readers
,,,,,,,,,,,,Where the Mountain Casts Its Shadow: The Dark Side of Extreme Adventure,Maria Coffey/Thomas Hornbein,3.88,312339011,9780450000000,eng,6/1/1998,Grand Central Publishing
,,,,,,,,,,,,Where the Red Fern Grows with Connections,Wilson Rawls/Rafe Martin/Borden Deal/Kemp P. Battle/Robert Bethke/Harold Courlander/Maya Angelou/Nicholasa Mohr/Dick Perry/John R. Erickson,4.37,30547741,9780310000000,eng,4/1/2005,St. Martin's Griffin
,,,,,,,,,,,,Where the Sidewalk Ends: Poems and Drawings,Shel Silverstein,4.3,60572345,9780030000000,eng,9/1/1998,Holt McDougal
,,,,,,,,,,,,Where the Wild Things Are,Maurice Sendak,4.22,60254920,9780060000000,eng,2/18/2014,HarperCollins
,,,,,,,,,,,,Where There's Smoke,Sandra Brown,3.97,446600342,9780060000000,eng,12/26/2012,HarperCollins
,,,,,,,,,,,,Where We Are  What We See: The Best Young Writers and Artists in America,David Levithan,3.76,439736463,9780450000000,eng,5/1/1994,Grand Central Publishing (Formerly Warner Books)
,,,,,,,,,,,,Where We Stand: Class Matters,bell hooks,4.18,041592913X,9780440000000,eng,5/1/2005,Push
,,,,,,,,,,,,Where's My Cow? (Discworld  #34.5),Terry Pratchett/Melvyn Grant,4.11,038560937X,9780420000000,eng,10/4/2000,Routledge
,,,,,,,,,,,,Wherever You Go  There You Are: Mindfulness Meditation in Everyday Life,Jon Kabat-Zinn,4.12,1401307787,9780390000000,eng,10/1/2005,Doubleday
,,,,,,,,,,,,While I Was Gone,Sue Miller,3.69,345443284,9781400000000,eng,1/5/2005,Hachette Books
,,,,,,,,,,,,While I Was Gone,Sue Miller,3.69,345420748,9780350000000,eng,5/12/2000,Ballantine Books
,,,,,,,,,,,,Whip Hand (Sid Halley  #2),Dick Francis,4.1,425203549,9780350000000,eng,11/26/2002,Ballantine Books
,,,,,,,,,,,,Whirlpool,Elizabeth Lowell/Ann Maxwell,3.78,60511133,9780430000000,eng,6/7/2005,G.P. Putnam's Sons
,,,,,,,,,,,,Whirlwind (Asian Saga  #6),James Clavell,3.82,340766182,9780060000000,eng,10/31/2006,Avon
,,,,,,,,,,,,White Fang,Jack London,3.98,439236193,9780340000000,eng,12/2/1999,Morrow
,,,,,,,,,,,,White Fang,Kathleen Olmstead/Jack London/Dan Andreasen/Arthur Pober,4.24,1402725000,9780440000000,eng,1/1/2001,Scholastic Paperbacks
,,,,,,,,,,,,White Lies (Arcane Society  #2),Jayne Ann Krentz,4.01,039915373X,9781400000000,en-US,3/28/2006,Sterling
,,,,,,,,,,,,White Man's Grave,Richard Dooling,3.94,031213214X,9780400000000,eng,2/1/2007,G.P. Putnam's Sons
,,,,,,,,,,,,White Noise,Don DeLillo,3.87,140283307,9780310000000,eng,3/15/1995,Picador USA
,,,,,,,,,,,,White Noise: Text and Criticism,Don DeLillo/Mark Osteen,3.87,140274987,9780140000000,eng,6/1/1999,Penguin Books
,,,,,,,,,,,,White Oleander,Janet Fitch,3.96,316284955,9780140000000,eng,12/1/1998,Penguin Books
,,,,,,,,,,,,White Oleander,Janet Fitch,3.96,316182540,9780320000000,eng,5/1/2000,Back Bay Books
,,,,,,,,,,,,White Sky  Black Ice (Nathan Active Mystery  #1),Stan Jones,3.77,1569473331,9780320000000,eng,9/1/2001,Little  Brown and Company
,,,,,,,,,,,,White Teeth,Zadie Smith,3.77,375703861,9781570000000,eng,7/1/2003,Soho Crime
,,,,,,,,,,,,White Teeth,Zadie Smith,3.77,140276335,9780380000000,eng,6/12/2001,Vintage
,,,,,,,,,,,,White Teeth,Zadie Smith,3.77,1417626283,9780140000000,eng,1/25/2001,Penguin Books
,,,,,,,,,,,,White Teeth,Zadie Smith,3.77,140297782,9781420000000,eng,6/1/2001,Turtleback Books
,,,,,,,,,,,,Whiteout,Ken Follett/David Tennant,3.58,1405052716,9780140000000,en-GB,11/30/2000,Penguin
,,,,,,,,,,,,Whites,Norman Rush,3.77,679738169,9781410000000,eng,9/1/2006,MacMillan Audio
,,,,,,,,,,,,Whitethorn Woods,Maeve Binchy,3.61,307265781,9780680000000,eng,9/1/1992,Vintage
,,,,,,,,,,,,Who Are You?: 101 Ways of Seeing Yourself,Malcolm Godwin,3.48,140196099,9780310000000,eng,3/6/2007,Knopf Publishing Group
,,,,,,,,,,,,Who Moved My Cheese?,Spencer Johnson/Kenneth H. Blanchard,3.8,91883768,9780140000000,eng,1/1/2000,Penguin Books
,,,,,,,,,,,,Who Needs Greek? Contests in the Cultural History of Hellenism,Simon Goldhill,3.4,521011760,9780090000000,eng,2/7/2002,Vermilion
,,,,,,,,,,,,Who Wants a Cheap Rhinoceros?,Shel Silverstein,3.96,689851138,9780520000000,eng,4/4/2002,Cambridge University Press
,,,,,,,,,,,,Who Was Anne Frank?,Ann Abramson/Nancy Harrison,4.26,448444828,9780690000000,eng,8/1/2002,Simon  Schuster Books for Young Readers
,,,,,,,,,,,,Who Was John F. Kennedy?,Yona Zeldis McDonough/Nancy Harrison/Jill Weber,4.18,448437430,9780450000000,eng,1/18/2007,Penguin Workshop
,,,,,,,,,,,,Who Was Mark Twain?,April Jones Prince/Nancy Harrison/John   O'Brien,4.16,448433192,9780450000000,eng,12/29/2004,Grosset & Dunlap
,,,,,,,,,,,,Who Was Thomas Jefferson?,Dennis Brindell Fradin/Nancy Harrison/John   O'Brien,4.07,448431459,9780450000000,eng,5/24/2004,Grosset & Dunlap
,,,,,,,,,,,,Who Was William Shakespeare?,Celeste Davidson Mannis/John   O'Brien,4.05,448439042,9780450000000,eng,7/28/2003,Penguin Workshop
,,,,,,,,,,,,Who Will Run the Frog Hospital?,Lorrie Moore,3.79,1400033829,9780450000000,eng,12/28/2006,Grosset & Dunlap
,,,,,,,,,,,,Whole Earth Software Catalog,Stewart Brand,3.92,385191669,9781400000000,eng,4/13/2004,Vintage
,,,,,,,,,,,,Whores for Gloria,William T. Vollmann,3.69,140231579,9780390000000,en-US,10/1/1984,Doubleday Books
,,,,,,,,,,,,Whoreson,Donald Goines,4.32,870679945,9780140000000,en-US,2/1/1994,Penguin Books
,,,,,,,,,,,,Who's Afraid of Virginia Woolf?,Edward Albee,4.08,451218590,9780870000000,en-US,1/1/2000,Holloway House
,,,,,,,,,,,,Who's To Blame (Sweet Valley High  #66),Francine Pascal/Kate William,3.36,553285556,9780450000000,eng,8/1/2006,NAL
,,,,,,,,,,,,Why Are All The Black Kids Sitting Together in the Cafeteria?: A Psychologist Explains the Development of Racial Identity,Beverly Daniel Tatum,4.21,465083617,9780550000000,eng,6/1/1990,Bantam
,,,,,,,,,,,,Why Did the Soviet Union Collapse?: Understanding Historical Change,Robert W. Strayer,3.44,765600048,9780470000000,en-US,1/17/2003,Basic Books
,,,,,,,,,,,,Why Do Men Fall Asleep After Sex? More Questions You'd Only Ask a Doctor After Your Third Whiskey Sour,Mark Leyner/Billy Goldberg,3.55,307345971,9780770000000,eng,5/21/1998,Routledge
,,,,,,,,,,,,Why I Hate Canadians,Will Ferguson,3.72,1550546007,9780310000000,eng,8/1/2006,Three Rivers Press
,,,,,,,,,,,,Why I Write,George Orwell,4.03,143036351,9781550000000,en-GB,2/19/2007,Not Avail
,,,,,,,,,,,,Why Is Sex Fun? The Evolution of Human Sexuality (Science Masters),Jared Diamond,3.71,465031269,9780140000000,eng,9/6/2005,Penguin Books
,,,,,,,,,,,,Why Orwell Matters,Christopher Hitchens,3.93,465030505,9780470000000,eng,9/25/1998,Basic Books
,,,,,,,,,,,,Wicked Dreams,Kingdome 19,3.67,3861878755,9780470000000,eng,9/11/2003,Basic Books
,,,,,,,,,,,,Wicked Sacrifice (Bound Hearts  #4-5),Lora Leigh,4.21,1419953966,9783860000000,eng,9/1/2006,Bruno Gmünder
,,,,,,,,,,,,Wicked Ties (Wicked Lovers  #1),Shayla Black,3.96,425213617,9781420000000,eng,11/30/2006,Elloras Cave
,,,,,,,,,,,,Wicked: The Grimmerie,David Cote/Stephen Schwartz/Joan Marcus/Winnie Holzman,4.18,1401308201,9780430000000,en-US,1/2/2007,Berkley Heat
,,,,,,,,,,,,Wicked: The Life and Times of the Wicked Witch of the West,Gregory Maguire/Douglas Smith,3.53,60745908,9781400000000,eng,10/26/2005,Hachette Books
,,,,,,,,,,,,Wickett's Remedy,Myla Goldberg,3.27,1400078121,9780060000000,en-US,3/2/2004,William Morrow Paperbacks
,,,,,,,,,,,,Wide Sargasso Sea,Jean Rhys,3.58,140818030,9781400000000,eng,10/10/2006,Anchor Books
,,,,,,,,,,,,Wide Sargasso Sea,Jean Rhys,3.58,140274219,9780140000000,en-US,4/26/2001,Penguin Classics
,,,,,,,,,,,,Wide Sargasso Sea: A Reader's Guide to Essential Criticism,Carl Plasa,3.63,184046268X,9780140000000,eng,9/3/1998,Penguin Books
,,,,,,,,,,,,Wideacre  (The Wideacre Trilogy  #1),Philippa Gregory,3.3,743249291,9781840000000,eng,9/6/2002,Palgrave Macmillan
,,,,,,,,,,,,Wifey,Judy Blume,3.36,425206548,9780740000000,eng,7/2/2003,Washington Square Press
,,,,,,,,,,,,Wifey / Smart Women,Judy Blume,3.68,743437578,9780430000000,eng,9/6/2005,Berkley
,,,,,,,,,,,,Wigfield: The Can-Do Town That Just May Not,Amy Sedaris/Stephen Colbert/Paul Dinello,3.58,1565117727,9780740000000,eng,10/2/2001,Pocket Books
,,,,,,,,,,,,Wild About Books,Judy Sierra/Marc Brown,4.17,037582538X,9781570000000,eng,5/19/2004,Highbridge Audio
,,,,,,,,,,,,Wild at Heart: Discovering the Secret of a Man's Soul,John Eldredge,3.92,785268839,9780380000000,eng,8/10/2004,Alfred A. Knopf Books for Young Readers
,,,,,,,,,,,,Wild Card (Tom Clancy's Power Plays  #8),Jerome Preisler/Tom Clancy/Martin Greenberg,3.96,425199118,9780790000000,eng,4/1/2001,Thomas Nelson
,,,,,,,,,,,,Wild Ducks Flying Backward,Tom Robbins,3.55,553383531,9780430000000,eng,11/2/2004,Berkley
,,,,,,,,,,,,Wild Fire (John Corey  #4),Nelson DeMille,4.01,044657967X,9780550000000,eng,8/29/2006,Bantam
,,,,,,,,,,,,Wild Fire (The Hot Zone  #3),Debra Cowan,3.86,373274742,9780450000000,eng,11/6/2006,Warner Books (NY)
,,,,,,,,,,,,Wild Horses,Dick Francis,3.91,425196747,9780370000000,eng,1/31/2006,Silhouette Books
,,,,,,,,,,,,Wild Magic (Drinker of Souls: Wild Magic  #1),Jo Clayton,3.71,886774969,9780430000000,eng,5/4/2004,G.P. Putnam's Sons
,,,,,,,,,,,,Wild Magic (Immortals  #1),Tamora Pierce,4.32,1416903437,9780890000000,eng,12/3/1991,DAW
,,,,,,,,,,,,Wild Swans: Three Daughters of China,Jung Chang,4.26,743246985,9781420000000,eng,6/1/2005,Simon Pulse
,,,,,,,,,,,,Wild Swans: Three Daughters of China,Jung Chang,4.26,7176155,9780740000000,eng,8/12/2003,Simon  Schuster
,,,,,,,,,,,,Wild Things (Prowlers Book 1),Christopher Golden,4.03,074344017X,9780010000000,eng,4/5/2004,Harper Perennial
,,,,,,,,,,,,Wild Things: Four Tales,Douglas Clegg,3.58,1587671565,9780740000000,eng,4/7/2003,Pocket Books
,,,,,,,,,,,,Wilderness: The Lost Writings  Vol. 1,Jim Morrison,3.96,679726225,9781590000000,eng,10/1/2006,Cemetery Dance Publications
,,,,,,,,,,,,Wildfire (Drinker of Souls: Wild Magic  #2),Jo Clayton,3.72,886775140,9780680000000,eng,12/17/1989,Random House Vintage Books
,,,,,,,,,,,,Wildwood Dancing (Wildwood  #1),Juliet Marillier,4.09,375833641,9780890000000,en-US,6/2/1992,DAW
,,,,,,,,,,,,Will Eisner Sketchbook,Will Eisner,4.31,1569719608,9780380000000,eng,1/23/2007,Alfred A. Knopf
,,,,,,,,,,,,Will Eisner's New York: Life in the Big City (The New York Tetralogy  #1-4),Will Eisner/Neil Gaiman,4.37,039306106X,9781570000000,eng,2/3/2004,Dark Horse Comics
,,,,,,,,,,,,Will in the World: How Shakespeare Became Shakespeare,Stephen Greenblatt,3.94,393050572,9780390000000,eng,10/17/2006,W. W. Norton  Company
,,,,,,,,,,,,Will You Miss Me When I'm Gone? The Carter Family and Their Legacy in American Music,Mark Zwonitzer/Charles Hirshberg,4.28,074324382X,9780390000000,en-US,9/30/2004,W.W. Norton & Company (NY/London)
,,,,,,,,,,,,Willem de Kooning: Late Paintings,Julie Sylvester/David Sylvester,5,382960226X,9780740000000,eng,2/23/2004,Simon  Schuster
,,,,,,,,,,,,William Faulkner: The Sound and the Fury and as I Lay Dying: Essays  Articles  Reviews,Nicolas Tredell,3.96,023112189X,9783830000000,eng,9/1/2006,Schirmer Mosel
,,,,,,,,,,,,William Goldman: Four Screenplays,William Goldman,4.29,155783198X,9780230000000,en-US,12/27/2000,Columbia University Press
,,,,,,,,,,,,William James: In the Maelstrom of American Modernism,Robert D. Richardson Jr.,4.25,618433252,73999254907,en-US,5/1/2000,Applause Books
,,,,,,,,,,,,William S. Burroughs  Throbbing Gristle  Brion Gysin,V. Vale/Andrea Juno/William S. Burroughs/Throbbing Gristle/Brion Gysin,4.26,1889307157,9780620000000,eng,11/9/2006,Houghton Mifflin Harcourt
,,,,,,,,,,,,William Shakespeare’s: Romeo and Juliet (Shakespeare Retellings  #4),Bruce Coville/Dennis Nolan,3.97,803724624,9781890000000,eng,1/10/2008,Re/Search Publications
,,,,,,,,,,,,William Shakespeare’s: Twelfth Night (Shakespeare Retellings  #6),Bruce Coville/Kathryn Hewitt,4.11,803723180,9780800000000,eng,10/1/1999,Dial Books
,,,,,,,,,,,,William Shakespeare's A Midsummer Night's Dream (Cliffs Complete),CliffsNotes/Michael McMahon,3.89,764587250,9780800000000,eng,3/10/2003,Dial
,,,,,,,,,,,,Winchester Shotguns,Dennis Adler/R.L. Wilson,5,785821082,9780760000000,eng,4/29/2001,Cliffs Notes
,,,,,,,,,,,,Wind Child,Nancy   Harding,3.08,671646192,9780790000000,eng,5/15/2008,Chartwell Books
,,,,,,,,,,,,Wind Rider's Oath (War God  #3),David Weber,4.02,1416508953,9780670000000,eng,7/1/1990,Pocket Books
,,,,,,,,,,,,Winds of Fate (Valdemar: Mage Winds #1),Mercedes Lackey,4.04,886775167,9781420000000,eng,8/1/2005,Baen
,,,,,,,,,,,,Winds of Fury (Valdemar: Mage Winds #3),Mercedes Lackey,4.05,886776120,9780890000000,eng,7/7/1992,DAW
,,,,,,,,,,,,Wings of Fire (Inspector Ian Rutledge  #2),Charles Todd,3.99,312965680,9780890000000,eng,8/1/1994,DAW
,,,,,,,,,,,,Winning with People Workbook,John C. Maxwell,4.22,785260900,9780310000000,eng,5/15/1999,St. Martin's Paperbacks
,,,,,,,,,,,,Winston Churchill,John Keegan,3.83,670030791,9780790000000,eng,9/10/2005,HarperCollins Leadership
,,,,,,,,,,,,Winston S. Churchill  Volume VIII: 'Never Despair ' 1945-1965,Martin  Gilbert,4.25,395419182,9780670000000,en-GB,10/14/2002,Viking Books
,,,,,,,,,,,,Winter (Four Seasons  #4),Núria Roca/Rosa María Curto,3.82,764127314,9780400000000,eng,9/1/1988,Houghton Mifflin
,,,,,,,,,,,,Winter Cottage,Carol Ryrie Brink,4.15,20419708,9780760000000,eng,6/30/2004,Barron's Educational Series
,,,,,,,,,,,,Winter Days in the Big Woods,Laura Ingalls Wilder/Renée Graef,4.28,64433730,9780020000000,eng,6/1/1974,Atheneum
,,,,,,,,,,,,Winter Dreams (Sweet Dreams  #141),Barbara Conklin,3.85,553270621,9780060000000,eng,9/15/1995,HarperCollins
,,,,,,,,,,,,Winter Is the Warmest Season,Lauren Stringer,3.9,152049673,9780550000000,eng,2/1/1988,Bantam Books
,,,,,,,,,,,,Winter Moon (Walker Papers  #1.5),Mercedes Lackey/Tanith Lee/C.E. Murphy,3.78,373802390,9780150000000,eng,10/1/2006,Harcourt
,,,,,,,,,,,,Winter of Magic's Return,Pamela F. Service,4.25,449702022,9780370000000,eng,10/25/2005,Luna Books
,,,,,,,,,,,,Winter on the Farm,Laura Ingalls Wilder/Renée Graef/Jody Wheeler,4.15,006440692X,9780450000000,eng,11/12/1986,Fawcett
,,,,,,,,,,,,Winter Prey (Lucas Davenport  #5),John Sandford,4.26,425141233,9780060000000,eng,9/6/1997,Winter on the Farm (My First Little House)
,,,,,,,,,,,,Winter Season: A Dancer's Journal,Toni Bentley,3.92,813027055,9780430000000,eng,3/1/1994,Berkley
