,Book title,Author,ISBN,Bestseller_Date,Created_Date,Publisher,Weeks_on_List
195,THE RUSSIAN,James Patterson and James O. Born,9781538703588,2023-04-29,2023-05-03 22:51:19,Grand Central,0
196,SUSPECTS,Danielle Steel,9781984821706,2023-04-29,2023-05-03 22:51:19,Dell,0
197,TWO ALONE,Sandra Brown,9780778334446,2023-04-29,2023-05-03 22:51:19,MIRA,0
198,LEGACY,Nora Roberts,9781250775009,2023-04-29,2023-05-03 22:51:19,St. Martin's,0
199,DEATH OF THE BLACK WIDOW,James Patterson and J.D. Barker,9781538753088,2023-04-29,2023-05-03 22:51:19,Grand Central,0
200,MERCY,David Baldacci,9781538719718,2023-04-29,2023-05-03 22:51:19,Grand Central,0
201,THE JENSENS OF COLORADO,William W. Johnstone and J.A. Johnstone,9780786050130,2023-04-29,2023-05-03 22:51:19,Pinnacle,0
202,TOM CLANCY: ZERO HOUR,Don Bentley,9780593422748,2023-04-29,2023-05-03 22:51:19,Berkley,0
203,SAVE IT FOR SUNDAY,William W. Johnstone and J.A. Johnstone,9780786049578,2023-04-29,2023-05-03 22:51:19,Pinnacle,0
204,THE LAST HOUSE GUEST,Megan Miranda,9781668012796,2023-04-29,2023-05-03 22:51:19,Marysue Rucci,0
205,ONE NIGHT,Debbie Macomber,9780061081859,2023-04-29,2023-05-03 22:51:19,Avon,0
206,GETTING EVEN,Lisa Jackson,9781420155549,2023-04-29,2023-05-03 22:51:19,Zebra,0
207,SOMEDAY WITH YOU,Nora Roberts,9781335452795,2023-04-29,2023-05-03 22:51:20,Silhouette,0
208,READY FOR MARRIAGE,Debbie Macomber,9781335498410,2023-04-29,2023-05-03 22:51:20,Harlequin,0
209,THE JUDGE'S LIST,John Grisham,9780593157831,2023-04-29,2023-05-03 22:51:20,Vintage,0
210,THE ONE AND ONLY IVAN,Katherine Applegate.,9780061992278,2023-04-29,2023-05-03 22:51:16,HarperCollins,0
211,THE WILD ROBOT,Peter Brown,9780316382007,2023-04-29,2023-05-03 22:51:16,"Little, Brown",0
212,WISH,Barbara O'Connor,9781250144058,2023-04-29,2023-05-03 22:51:16,Square Fish,0
213,A LONG WALK TO WATER,Linda Sue Park,9780547577319,2023-04-29,2023-05-03 22:51:16,Clarion,0
214,RESTART,Gordon Korman,9781338053807,2023-04-29,2023-05-03 22:51:16,Scholastic,0
215,THE ONE AND ONLY BOB,Katherine Applegate.,9780062991324,2023-04-29,2023-05-03 22:51:16,HarperCollins,0
216,FISH IN A TREE,Lynda Mullaly Hunt,9780142426425,2023-04-29,2023-05-03 22:51:16,Nancy Paulsen,0
217,A WOLF CALLED WANDER,Rosanne Parry.,9780062895943,2023-04-29,2023-05-03 22:51:16,Greenwillow,0
218,OUT OF MY MIND,Sharon M. Draper,9781416971719,2023-04-29,2023-05-03 22:51:16,Atheneum,0
219,WHEN YOU TRAP A TIGER,Tae Keller,9781524715731,2023-04-29,2023-05-03 22:51:16,Yearling,0
220,IF HE HAD BEEN WITH ME,Laura Nowlin,9781728205489,2023-04-29,2023-05-03 22:51:06,Sourcebooks Fire,0
221,GIRL IN PIECES,Kathleen Glasgow,9781101934746,2023-04-29,2023-05-03 22:51:06,Ember,0
222,BETTER THAN THE MOVIES,Lynn Painter,9781534467637,2023-04-29,2023-05-03 22:51:06,Simon & Schuster,0
223,THE WAY I USED TO BE,Amber Smith,9781481449366,2023-04-29,2023-05-03 22:51:06,Margaret K. McElderry,0
224,ONE OF US IS LYING,Karen M. McManus,9781524714758,2023-04-29,2023-05-03 22:51:06,Delacorte,0
225,THE ISLAND,Natasha Preston,9780593481493,2023-04-29,2023-05-03 22:51:06,Delacorte,0
226,THEY BOTH DIE AT THE END,Adam Silvera,9780062457806,2023-04-29,2023-05-03 22:51:06,Quill Tree,0
227,SIX OF CROWS,Leigh Bardugo,9781250076960,2023-04-29,2023-05-03 22:51:06,Square Fish,0
